"Country Code","Country","Item Code","Item","Element Code","Element","Unit","Y1961","Y1961F","Y1962","Y1962F","Y1963","Y1963F","Y1964","Y1964F","Y1965","Y1965F","Y1966","Y1966F","Y1967","Y1967F","Y1968","Y1968F","Y1969","Y1969F","Y1970","Y1970F","Y1971","Y1971F","Y1972","Y1972F","Y1973","Y1973F","Y1974","Y1974F","Y1975","Y1975F","Y1976","Y1976F","Y1977","Y1977F","Y1978","Y1978F","Y1979","Y1979F","Y1980","Y1980F","Y1981","Y1981F","Y1982","Y1982F","Y1983","Y1983F","Y1984","Y1984F","Y1985","Y1985F","Y1986","Y1986F","Y1987","Y1987F","Y1988","Y1988F","Y1989","Y1989F","Y1990","Y1990F","Y1991","Y1991F","Y1992","Y1992F","Y1993","Y1993F","Y1994","Y1994F","Y1995","Y1995F","Y1996","Y1996F","Y1997","Y1997F","Y1998","Y1998F","Y1999","Y1999F","Y2000","Y2000F","Y2001","Y2001F","Y2002","Y2002F","Y2003","Y2003F","Y2004","Y2004F","Y2005","Y2005F","Y2006","Y2006F","Y2007","Y2007F","Y2008","Y2008F","Y2009","Y2009F","Y2010","Y2010F","Y2011","Y2011F","Y2012","Y2012F","Y2013","Y2013F"
"231","United States of America","221","Almonds, with shell","5312","Area harvested","Ha","36138.00","","37676.00","","39578.00","","41196.00","","47469.00","","47874.00","","50423.00","","54672.00","","60297.00","","68760.00","","76000.00","","80490.00","","86440.00","","93560.00","","100680.00","","104370.00","","111890.00","","124520.00","","131160.00","","132250.00","","132010.00","","137190.00","","145680.00","","154180.00","","165510.00","","168350.00","","168750.00","","169560.00","","166330.00","","166330.00","","163900.00","","162280.00","","167130.00","","175230.00","","169160.00","","173200.00","","181220.00","","188600.00","","196800.00","","202340.00","","214483.00","","220554.00","","222577.00","","230671.00","","234718.00","","234718.00","","259002.00","","275189.00","","291374.00","","291373.00","","307562.00","","315590.00","","339360.00",""
"231","United States of America","221","Almonds, with shell","5419","Yield","Hg/Ha","16668.60","Fc","11557.76","Fc","13684.12","Fc","16516.65","Fc","13931.83","Fc","16125.87","Fc","13781.41","Fc","12361.90","Fc","18355.14","Fc","16359.80","Fc","15995.13","Fc","14088.46","Fc","14063.28","Fc","18325.89","Fc","14416.87","Fc","20252.28","Fc","20188.40","Fc","10396.32","Fc","21005.72","Fc","18136.71","Fc","22980.15","Fc","18747.72","Fc","12355.85","Fc","28473.21","Fc","21267.60","Fc","11250.37","Fc","29629.63","Fc","26356.45","Fc","22317.08","Fc","30048.70","Fc","22647.96","Fc","25400.54","Fc","21767.49","Fc","30245.96","Fc","16315.91","Fc","22257.51","Fc","30294.67","Fc","20837.75","Fc","32063.01","Fc","26341.80","Fc","28402.16","Fc","36274.61","Fc","35325.39","Fc","34073.85","Fc","29969.20","Fc","36048.83","Fc","46829.75","Fc","51237.51","Fc","39886.88","Fc","48522.00","Fc","59876.94","Fc","57491.43","Fc","53464.52","Fc"
"231","United States of America","221","Almonds, with shell","5510","Production","tonnes","60237.00","","43545.00","","54159.00","","68042.00","","66133.00","","77201.00","","69490.00","","67585.00","","110676.00","","112490.00","","121563.00","","113398.00","","121563.00","","171457.00","","145149.00","","211373.00","","225888.00","","129455.00","","275511.00","","239858.00","","303361.00","","257200.00","","180000.00","","439000.00","","352000.00","","189400.00","","500000.00","","446900.00","","371200.00","","499800.00","","371200.00","","412200.00","","363800.00","","530000.00","","276000.00","","385500.00","","549000.00","","393000.00","","631000.00","","533000.00","","609178.00","","800051.00","","786262.00","","785985.00","","703431.00","","846131.00","","1212900.00","","1410000.00","","1162200.00","","1413800.00","","1841587.00","","1814372.00","","1814372.00",""
"231","United States of America","515","Apples","5312","Area harvested","Ha","184780.00","","182390.00","","182390.00","","182630.00","","175270.00","","170290.00","","166240.00","","163450.00","","162840.00","","162880.00","","162760.00","","163980.00","","161510.00","","160250.00","","160090.00","","163170.00","","163250.00","","163610.00","","164950.00","","166810.00","","167900.00","","169280.00","","171790.00","","171140.00","","174300.00","","179030.00","","183040.00","","187605.00","","194600.00","","191600.00","","180650.00","","184150.00","","186000.00","","185930.00","","187200.00","","189200.00","","189390.00","","189230.00","","186486.00","","173900.00","","169179.00","","159770.00","","158010.00","","155990.00","","153602.00","","152765.00","","142002.00","","141879.00","","140750.00","","138383.00","","133789.00","","132656.00","","131210.00",""
"231","United States of America","515","Apples","5419","Yield","Hg/Ha","139841.97","Fc","141509.95","Fc","143045.12","Fc","156929.31","Fc","158906.03","Fc","153462.51","Fc","147490.44","Fc","151143.04","Fc","189959.59","Fc","178163.86","Fc","177612.44","Fc","162615.26","Fc","175948.30","Fc","186239.38","Fc","213350.80","Fc","179918.18","Fc","187259.72","Fc","210615.49","Fc","223457.41","Fc","239793.78","Fc","209089.93","Fc","217631.14","Fc","221223.59","Fc","220620.54","Fc","205966.72","Fc","199117.47","Fc","266204.11","Fc","220676.42","Fc","232219.94","Fc","228601.25","Fc","243703.29","Fc","260304.10","Fc","260564.52","Fc","280567.96","Fc","256303.42","Fc","248890.06","Fc","247214.74","Fc","279158.11","Fc","258575.87","Fc","269234.04","Fc","252797.92","Fc","242000.63","Fc","249833.30","Fc","303594.85","Fc","287032.07","Fc","299062.61","Fc","290339.57","Fc","307980.11","Fc","312758.01","Fc","304560.46","Fc","319541.44","Fc","309827.75","Fc","311074.46","Fc"
"231","United States of America","515","Apples","5510","Production","tonnes","2584000.00","","2581000.00","","2609000.00","","2866000.00","","2785146.00","","2613313.00","","2451881.00","","2470433.00","","3093302.00","","2901933.00","","2890820.00","","2666565.00","","2841741.00","","2984486.00","","3415533.00","","2935725.00","","3057015.00","","3445880.00","","3685930.00","","4000000.00","","3510620.00","","3684060.00","","3800400.00","","3775700.00","","3590000.00","","3564800.00","","4872600.00","","4140000.00","","4519000.00","","4380000.00","","4402500.00","","4793500.00","","4846500.00","","5216600.00","","4798000.00","","4709000.00","","4682000.00","","5282509.00","","4822078.00","","4681980.00","","4276810.00","","3866444.00","","3947616.00","","4735776.00","","4408870.00","","4568630.00","","4122880.00","","4369591.00","","4402069.00","","4214599.00","","4275113.00","","4110051.00","","4081608.00","Im"
"231","United States of America","526","Apricots","5312","Area harvested","Ha","16070.00","","15540.00","","15580.00","","16030.00","","15460.00","","15180.00","","14930.00","","14770.00","","14730.00","","13760.00","","13030.00","","12460.00","","11860.00","","12060.00","","11980.00","","11490.00","","11410.00","","11290.00","","10040.00","","10040.00","","9430.00","","9100.00","","8820.00","","8460.00","","8093.00","","7930.00","","7770.00","","7770.00","","7580.00","","7420.00","","7580.00","","7904.00","","8420.00","","8615.00","","8575.00","","8730.00","","8660.00","","8650.00","","8248.00","","8248.00","","7863.00","","7017.00","","7220.00","","7017.00","","6410.00","","6289.00","","5119.00","","5038.00","","4998.00","","4917.00","","4917.00","","4917.00","","4340.00",""
"231","United States of America","526","Apricots","5419","Yield","Hg/Ha","107145.61","Fc","96730.37","Fc","115580.87","Fc","124560.20","Fc","132615.14","Fc","115638.34","Fc","89639.65","Fc","91688.56","Fc","140788.19","Fc","115375.73","Fc","129811.20","Fc","92905.30","Fc","120779.09","Fc","70370.65","Fc","138272.95","Fc","122062.66","Fc","117193.69","Fc","101408.33","Fc","130298.80","Fc","116563.75","Fc","86002.12","Fc","117835.16","Fc","95657.60","Fc","136394.80","Fc","146842.95","Fc","62547.29","Fc","133590.73","Fc","119047.62","Fc","143799.47","Fc","149710.24","Fc","114775.73","Fc","122120.45","Fc","104940.62","Fc","161323.27","Fc","64011.66","Fc","82405.50","Fc","145612.01","Fc","124278.61","Fc","99539.28","Fc","96568.87","Fc","95179.96","Fc","116355.99","Fc","122632.96","Fc","130705.43","Fc","115553.82","Fc","64445.86","Fc","156417.27","Fc","146953.16","Fc","124697.88","Fc","122471.02","Fc","122969.29","Fc","112176.12","Fc","127557.60","Fc"
"231","United States of America","526","Apricots","5510","Production","tonnes","172183.00","","150319.00","","180075.00","","199670.00","","205023.00","","175539.00","","133832.00","","135424.00","","207381.00","","158757.00","","169144.00","","115760.00","","143244.00","","84867.00","","165651.00","","140250.00","","133718.00","","114490.00","","130820.00","","117030.00","","81100.00","","107230.00","","84370.00","","115390.00","","118840.00","","49600.00","","103800.00","","92500.00","","109000.00","","111085.00","","87000.00","","96524.00","","88360.00","","138980.00","","54890.00","","71940.00","","126100.00","","107501.00","","82100.00","","79650.00","","74840.00","","81647.00","","88541.00","","91716.00","","74070.00","","40530.00","","80070.00","","74035.00","","62324.00","","60219.00","","60464.00","","55157.00","","55360.00",""
"231","United States of America","366","Artichokes","5312","Area harvested","Ha","3440.00","","3237.00","","3237.00","","3521.00","","3723.00","","3602.00","","3885.00","","3885.00","","4087.00","","4451.00","","4451.00","","4492.00","","4856.00","","4371.00","","4128.00","","4290.00","","4371.00","","4006.00","","3925.00","","3729.00","","3937.00","","4638.00","","4791.00","","5000.00","","4869.00","","5406.00","","4502.00","","4814.00","","4616.00","","4015.00","","3966.00","","3885.00","","3720.00","","3720.00","","3602.00","","3602.00","","3764.00","","3930.00","","3970.00","","3560.00","","3240.00","","3320.00","","2910.00","","3040.00","","3200.00","","3520.00","","3890.00","","3560.00","","3480.00","","2910.00","","2995.00","","2954.00","","2833.00",""
"231","United States of America","366","Artichokes","5419","Yield","Hg/Ha","67247.09","Fc","61655.85","Fc","67259.81","Fc","72913.94","Fc","78460.92","Fc","84119.93","Fc","85230.37","Fc","67250.97","Fc","72916.56","Fc","68380.14","Fc","80709.95","Fc","71694.12","Fc","56044.07","Fc","72848.32","Fc","80654.07","Fc","85219.11","Fc","73989.93","Fc","59443.33","Fc","100886.62","Fc","114411.37","Fc","146492.25","Fc","113702.03","Fc","84485.49","Fc","99660.00","Fc","124641.61","Fc","88246.39","Fc","122574.41","Fc","117440.80","Fc","127365.68","Fc","125895.39","Fc","137967.73","Fc","128906.05","Fc","123387.10","Fc","145833.33","Fc","103134.37","Fc","112076.62","Fc","112061.64","Fc","100763.36","Fc","128539.04","Fc","128932.58","Fc","140000.00","Fc","128825.30","Fc","157113.40","Fc","123092.11","Fc","123187.50","Fc","96761.36","Fc","123136.25","Fc","145758.43","Fc","140114.94","Fc","134673.54","Fc","151298.83","Fc","162610.02","Fc","151306.04","Fc"
